1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
1,1,80
1,2,50
1,3,40
1,4,75
1,5,45
